TIME,feed,faecal_1,faecal_2,faecal_3
01/04/2021 00:01,0,0,0,0
01/04/2021 06:59,0,0,0,0
01/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
01/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
01/04/2021 10:01,0,0,0,0
01/04/2021 14:59,0,0,0,0
01/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
01/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
01/04/2021 18:01,0,0,0,0
02/04/2021 00:01,0,0,0,0
02/04/2021 06:59,0,0,0,0
02/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
02/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
02/04/2021 10:01,0,0,0,0
02/04/2021 14:59,0,0,0,0
02/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
02/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
02/04/2021 18:01,0,0,0,0
03/04/2021 00:01,0,0,0,0
03/04/2021 06:59,0,0,0,0
03/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
03/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
03/04/2021 10:01,0,0,0,0
03/04/2021 14:59,0,0,0,0
03/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
03/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
03/04/2021 18:01,0,0,0,0
04/04/2021 00:01,0,0,0,0
04/04/2021 06:59,0,0,0,0
04/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
04/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
04/04/2021 10:01,0,0,0,0
04/04/2021 14:59,0,0,0,0
04/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
04/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
04/04/2021 18:01,0,0,0,0
05/04/2021 00:01,0,0,0,0
05/04/2021 06:59,0,0,0,0
05/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
05/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
05/04/2021 10:01,0,0,0,0
05/04/2021 14:59,0,0,0,0
05/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
05/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
05/04/2021 18:01,0,0,0,0
06/04/2021 00:01,0,0,0,0
06/04/2021 06:59,0,0,0,0
06/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
06/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
06/04/2021 10:01,0,0,0,0
06/04/2021 14:59,0,0,0,0
06/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
06/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
06/04/2021 18:01,0,0,0,0
07/04/2021 00:01,0,0,0,0
07/04/2021 06:59,0,0,0,0
07/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
07/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
07/04/2021 10:01,0,0,0,0
07/04/2021 14:59,0,0,0,0
07/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
07/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
07/04/2021 18:01,0,0,0,0
08/04/2021 00:01,0,0,0,0
08/04/2021 06:59,0,0,0,0
08/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
08/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
08/04/2021 10:01,0,0,0,0
08/04/2021 14:59,0,0,0,0
08/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
08/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
08/04/2021 18:01,0,0,0,0
09/04/2021 00:01,0,0,0,0
09/04/2021 06:59,0,0,0,0
09/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
09/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
09/04/2021 10:01,0,0,0,0
09/04/2021 14:59,0,0,0,0
09/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
09/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
09/04/2021 18:01,0,0,0,0
10/04/2021 00:01,0,0,0,0
10/04/2021 06:59,0,0,0,0
10/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
10/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
10/04/2021 10:01,0,0,0,0
10/04/2021 14:59,0,0,0,0
10/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
10/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
10/04/2021 18:01,0,0,0,0
11/04/2021 00:01,0,0,0,0
11/04/2021 06:59,0,0,0,0
11/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
11/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
11/04/2021 10:01,0,0,0,0
11/04/2021 14:59,0,0,0,0
11/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
11/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
11/04/2021 18:01,0,0,0,0
12/04/2021 00:01,0,0,0,0
12/04/2021 06:59,0,0,0,0
12/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
12/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
12/04/2021 10:01,0,0,0,0
12/04/2021 14:59,0,0,0,0
12/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
12/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
12/04/2021 18:01,0,0,0,0
13/04/2021 00:01,0,0,0,0
13/04/2021 06:59,0,0,0,0
13/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
13/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
13/04/2021 10:01,0,0,0,0
13/04/2021 14:59,0,0,0,0
13/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
13/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
13/04/2021 18:01,0,0,0,0
14/04/2021 00:01,0,0,0,0
14/04/2021 06:59,0,0,0,0
14/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 10:01,0,0,0,0
14/04/2021 14:59,0,0,0,0
14/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
14/04/2021 18:01,0,0,0,0
15/04/2021 00:01,0,0,0,0
15/04/2021 06:59,0,0,0,0
15/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 10:01,0,0,0,0
15/04/2021 14:59,0,0,0,0
15/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
15/04/2021 18:01,0,0,0,0
16/04/2021 00:01,0,0,0,0
16/04/2021 06:59,0,0,0,0
16/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 10:01,0,0,0,0
16/04/2021 14:59,0,0,0,0
16/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
16/04/2021 18:01,0,0,0,0
17/04/2021 00:01,0,0,0,0
17/04/2021 06:59,0,0,0,0
17/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 10:01,0,0,0,0
17/04/2021 14:59,0,0,0,0
17/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
17/04/2021 18:01,0,0,0,0
18/04/2021 00:01,0,0,0,0
18/04/2021 06:59,0,0,0,0
18/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 10:01,0,0,0,0
18/04/2021 14:59,0,0,0,0
18/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
18/04/2021 18:01,0,0,0,0
19/04/2021 00:01,0,0,0,0
19/04/2021 06:59,0,0,0,0
19/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 10:01,0,0,0,0
19/04/2021 14:59,0,0,0,0
19/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
19/04/2021 18:01,0,0,0,0
20/04/2021 00:01,0,0,0,0
20/04/2021 06:59,0,0,0,0
20/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 10:01,0,0,0,0
20/04/2021 14:59,0,0,0,0
20/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
20/04/2021 18:01,0,0,0,0
21/04/2021 00:01,0,0,0,0
21/04/2021 06:59,0,0,0,0
21/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 10:01,0,0,0,0
21/04/2021 14:59,0,0,0,0
21/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
21/04/2021 18:01,0,0,0,0
22/04/2021 00:01,0,0,0,0
22/04/2021 06:59,0,0,0,0
22/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 10:01,0,0,0,0
22/04/2021 14:59,0,0,0,0
22/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
22/04/2021 18:01,0,0,0,0
23/04/2021 00:01,0,0,0,0
23/04/2021 06:59,0,0,0,0
23/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 10:01,0,0,0,0
23/04/2021 14:59,0,0,0,0
23/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
23/04/2021 18:01,0,0,0,0
24/04/2021 00:01,0,0,0,0
24/04/2021 06:59,0,0,0,0
24/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 10:01,0,0,0,0
24/04/2021 14:59,0,0,0,0
24/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
24/04/2021 18:01,0,0,0,0
25/04/2021 00:01,0,0,0,0
25/04/2021 06:59,0,0,0,0
25/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 10:01,0,0,0,0
25/04/2021 14:59,0,0,0,0
25/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
25/04/2021 18:01,0,0,0,0
26/04/2021 00:01,0,0,0,0
26/04/2021 06:59,0,0,0,0
26/04/2021 07:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 10:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 10:01,0,0,0,0
26/04/2021 14:59,0,0,0,0
26/04/2021 15:00,0.002536783,0.031075596,0.039827499,0.05339929
26/04/2021 18:00,0.002536783,0.031075596,0.039827499,0.05339929
